date,destination_region,oil_eur_per_day,gas_eur_per_day,coal_eur_per_day,total_eur_per_day
2023-11-01,India,126431218.39768128,1110437.6506666667,7130779.6858,134672435.73414794
2023-11-01,Others,111698259.33009855,21373640.2811454,10473885.811666667,143545785.42291063
2023-11-01,South Korea,2186683.0850425004,4790955.370144432,4358749.338133333,11336387.793320267
2023-11-01,Total,513074342.6823915,147088059.49902225,50270239.62343334,710432641.8048471
2023-11-01,Türkiye,60915372.772927366,31563294.342010736,9756020.386466665,102234687.50140476
2023-11-01,United Kingdom,0.0,0.0,0.0,0.0
2023-11-01,United States,0.0,0.0,0.0,0.0
2023-12-01,China,181178851.36975756,21494042.386088185,17140631.50358065,219813525.2594264
2023-12-01,EU,26133848.14055052,63114705.02826812,0.0,89248553.16881864
2023-12-01,India,103284086.12305628,0.0,6365197.125548388,109649283.24860467
2023-12-01,Others,119625895.61882955,22254766.03897668,6892674.388741935,148773336.04654816
2023-12-01,South Korea,1123290.8617108066,3502046.711526097,5737316.551838709,10362654.125075612
2023-12-01,Total,503899107.0481106,135896495.31849596,44174565.73103227,683970168.0976388
2023-12-01,Türkiye,72553134.93420586,25530935.15363688,8038746.161322582,106122816.24916533
2023-12-01,United Kingdom,0.0,0.0,0.0,0.0
2023-12-01,United States,0.0,0.0,0.0,0.0
2024-01-01,China,159480766.44719788,27174092.163907908,12593332.091580646,199248190.70268643
2024-01-01,EU,20666731.093166865,49825897.70234225,0.0,70492628.79550911
2024-01-01,India,94088646.83812091,0.0,7975015.814096775,102063662.65221769
2024-01-01,Others,110803892.71915594,19632257.69634149,10112583.624258064,140548734.0397555
2024-01-01,South Korea,7768516.277618161,3923791.0020290646,4028961.486322581,15721268.765969807
2024-01-01,Total,451500193.92261267,131596904.48098566,40325907.673096776,623423006.0766951
2024-01-01,Türkiye,58691640.54735293,31040865.916364957,5616014.65683871,95348521.1205566
2024-01-01,United Kingdom,0.0,0.0,0.0,0.0
2024-01-01,United States,0.0,0.0,0.0,0.0
2024-02-01,China,173111686.1608872,27239740.856179632,13708361.003206894,214059788.02027375
2024-02-01,EU,19841706.73816502,43341633.33791892,0.0,63183340.07608394
2024-02-01,India,93144015.99995074,0.0,9676546.479689658,102820562.4796404
2024-02-01,Others,101081201.46212302,16056160.78615414,8263386.060310345,125400748.3085875
2024-02-01,South Korea,3008319.1819995167,1926584.6014308278,5441637.926655172,10376541.710085517
2024-02-01,Total,454304680.92335635,121550473.7034708,44049610.93658621,619904765.5634134
2024-02-01,Türkiye,64117751.380230926,32986354.12178727,6959679.466724137,104063784.96874233
2024-02-01,United Kingdom,0.0,0.0,0.0,0.0
2024-02-01,United States,0.0,0.0,0.0,0.0
2024-03-01,China,204415294.00838542,25191416.846390344,16786716.256935485,246393427.11171126
2024-03-01,EU,14367001.307963584,43922501.38576426,0.0,58289502.69372785
2024-03-01,India,108917650.61486536,0.0,5637992.006129034,114555642.62099439
2024-03-01,Others,112773409.28019975,15016907.570421752,8949460.917612905,136739777.7682344
2024-03-01,South Korea,5864764.620789226,2605701.7325622584,4739841.109580645,13210307.46293213
2024-03-01,Total,522500061.0790542,107627166.92771201,41604136.67058065,671731364.6773468
2024-03-01,Türkiye,76161941.24685088,20890639.39257338,5490126.380322579,102542707.01974684
2024-03-01,United Kingdom,0.0,0.0,0.0,0.0
2024-03-01,United States,0.0,0.0,0.0,0.0
2024-04-01,China,200291115.0338009,24154704.390485205,19557102.74056667,244002922.16485277
2024-04-01,EU,10771202.158915035,45227599.43768175,0.0,55998801.596596785
2024-04-01,India,127868801.71171163,1061140.6619733335,9817051.894066667,138746994.26775163
2024-04-01,Others,123383745.17998575,9854495.82226245,10413259.2064,143651500.2086482
2024-04-01,South Korea,6285397.698272133,3681925.9667157666,4773743.343633333,14741067.008621233
2024-04-01,Total,534886626.42359954,88912095.54300459,49560824.12296667,673359546.0895708
2024-04-01,Türkiye,66286364.640914105,4932229.263886079,4999666.9383,76218260.84310019
2024-04-01,United Kingdom,0.0,0.0,0.0,0.0
2024-04-01,United States,0.0,0.0,0.0,0.0
2024-05-01,China,174313536.47437966,28061614.65350764,23251426.083032254,225626577.21091956
2024-05-01,EU,15326811.514591265,49677456.57367678,0.0,65004268.08826804
2024-05-01,India,140110241.8291397,0.0,8302712.803677419,148412954.63281712
2024-05-01,Others,129944572.780869,9671473.606394077,10453372.871322582,150069419.25858566
2024-05-01,South Korea,6583050.236421484,3654266.8836435163,2829497.9428387093,13066815.06290371
2024-05-01,Total,549511493.8875141,99434409.29325227,51135740.3992258,700081643.5799922
2024-05-01,Türkiye,83233281.05211295,8369597.57603026,6298730.698354838,97901609.32649805
2024-05-01,United Kingdom,0.0,0.0,0.0,0.0
2024-05-01,United States,0.0,0.0,0.0,0.0
2024-06-01,China,169435155.52564868,31407317.957242336,21515534.031233333,222358007.51412436
2024-06-01,EU,10089705.970888535,46833064.76066944,0.0,56922770.73155797
2024-06-01,India,135444699.71961033,0.0,9576163.747333335,145020863.46694368
2024-06-01,Others,123345171.42048424,11469623.227404717,10888184.70266667,145702979.35055563
2024-06-01,South Korea,3528434.7289928338,1005296.7685298666,4851625.732199999,9385357.2297227
2024-06-01,Total,506243563.3509416,94122996.29384527,54658727.40653333,655025287.0513202
2024-06-01,Türkiye,64400395.98531701,3407693.579998913,7827219.193100002,75635308.75841592
2024-06-01,United Kingdom,0.0,0.0,0.0,0.0
2024-06-01,United States,0.0,0.0,0.0,0.0
2024-07-01,China,149147748.1505959,30155344.42820263,19966556.35590323,199269648.93470177
2024-07-01,EU,15626050.289052965,50903469.10183586,0.0,66529519.390888825
2024-07-01,India,141151218.58662534,0.0,9819188.085451614,150970406.67207694
2024-07-01,Others,116829740.89717025,7710577.413598514,8466550.356806451,133006868.66757521
2024-07-01,South Korea,3167501.1169629674,0.0,7333848.696870969,10501349.813833937
2024-07-01,Total,497895968.0644215,105943838.40007147,52118411.99206452,655958218.4565575
2024-07-01,Türkiye,71973709.02401407,17174447.456434466,6532268.497032258,95680424.9774808
2024-07-01,United Kingdom,0.0,0.0,0.0,0.0
2024-07-01,United States,0.0,0.0,0.0,0.0
2024-08-01,China,173954389.66951135,33237237.248497993,18347489.735225808,225539116.65323514
2024-08-01,EU,9667999.87644537,45123458.32292119,0.0,54791458.199366555
2024-08-01,India,124653816.3825782,0.0,8441749.757419353,133095566.13999754
